License Plate,Make,Model,Odometer Value (Last),Fuel Type,Fuel UOM
RJ09GB7878,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ39T6630,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ16AW3999,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ12CT0624,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ06BV4771,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ12CT9037,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ16AW6472,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ06AZ4699,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ06BV6999,Unspecified,Chemical Tanker,0,Diesel,Litre
MP09HH6222,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ06BT6264,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ06AV6199,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ06BT6391,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ16AV5778,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ16AW9199,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ16AV6372,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ16AY7799,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ16AW8499,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ06BV5440,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ16AW3299,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ06BT7290,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ06BT4399,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ16AV5781,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ12CT0851,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ16AV7281,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ06BT6499,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ39T6418,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ05BV5782,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ06AZ5099,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ12BW1529,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ06BT5445,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ06AX9018,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ06BT6382,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ06BT6599,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ06AX4599,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ16AW2899,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ06AZ6570,Unspecified,Chemical Tanker,0,Diesel,Litre
